PassengerId,Pclass,SibSp,Parch,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Age_scaled,Fare_scaled
892,3,0,0,0,1,0,0,1,0.3075346088538136,-0.496941787956812
893,3,1,0,0,0,1,1,0,1.2562300681592042,-0.5118038456124282
894,2,0,0,0,1,0,0,1,2.394664619325673,-0.4636347911629967
895,3,0,0,0,0,1,0,1,-0.2616826667294207,-0.48200624448789614
896,3,1,1,0,0,1,1,0,-0.641160850451577,-0.41703403150959323
897,3,0,0,0,0,1,0,1,-1.248325944407027,-0.47192434937057326
898,3,0,0,0,1,0,1,0,-0.03399575649612698,-0.5005264617763046
899,2,1,1,0,0,1,0,1,-0.337578303473852,-0.1174897254682449
900,3,0,0,1,0,0,1,0,-0.9447433974293019,-0.5076958094152897
901,3,2,0,0,0,1,0,1,-0.7170564871960082,-0.2044180655909399
902,3,0,0,0,0,1,0,1,-0.1897938518655354,-0.49574809157492095
903,1,0,0,0,0,1,0,1,1.180334431414773,-0.17125983276063353
904,1,1,0,0,0,1,1,0,-0.5652652137071457,0.8372289992355809
905,2,1,0,0,0,1,0,1,2.4705602560701037,-0.17125983276063353
906,1,1,0,0,0,1,1,0,1.2562300681592042,0.45919467524262314
907,2,1,0,1,0,0,1,0,-0.48936957696271444,-0.1404172992177194
908,2,0,0,0,1,0,0,1,0.34548242722602923,-0.41591382094100177
909,3,0,0,1,0,0,0,1,-0.7170564871960082,-0.507771087565499
910,3,1,0,0,0,1,1,0,-0.2616826667294207,-0.495224729197275
911,3,0,0,1,0,0,1,0,1.1044387946703418,-0.507771087565499
912,1,1,0,1,0,0,0,1,1.863395162114654,0.42738069509462656
913,3,0,1,0,0,1,0,1,-1.627804128129183,-0.580436010560433
914,1,0,0,0,0,1,1,0,1.6595630937949877,-0.06939594916902278
915,1,0,1,1,0,0,0,1,-0.7170564871960082,0.46285462721232506
916,1,1,3,1,0,0,1,0,1.3321257049036355,4.065376537652154
917,3,1,0,0,0,1,0,1,1.483916978392498,-0.37737857738145664
918,1,0,1,1,0,0,1,0,-0.641160850451577,0.4736086486708028
919,3,0,0,1,0,0,0,1,-0.6032130320793613,-0.507771087565499
920,1,0,0,0,0,1,0,1,0.8008562476926168,-0.09060467182205058
921,3,2,0,1,0,0,0,1,-0.5304578935370506,-0.2487031259569511
922,2,1,0,0,0,1,0,1,1.483916978392498,-0.17125983276063353
923,2,2,0,0,0,1,0,1,-0.48936957696271444,-0.0726813027245877
924,3,1,2,0,0,1,1,0,0.19369115373716675,-0.26849411011436963
925,3,1,2,0,0,1,1,0,-1.0868238091380558,-0.21696442395916388
926,1,1,0,1,0,0,0,1,-0.03399575649612698,0.39780713608381285
927,3,0,0,1,0,0,0,1,-0.9067955790570863,-0.5076958094152897
928,3,0,0,0,0,1,1,0,0.019565826784205844,-0.4929843080600922
929,3,0,0,0,0,1,1,0,-0.7170564871960082,-0.48200624448789614
930,3,0,0,0,0,1,0,1,-0.4134739402182832,-0.466995422868771
931,3,0,0,0,0,1,0,1,-0.06671451060735928,0.3753276465617749
932,3,0,1,1,0,0,0,1,0.6490649742037542,-0.39679496312473816
933,1,0,0,0,0,1,0,1,1.4762825832814062,-0.16140197975702894
934,3,0,0,0,0,1,0,1,0.8008562476926168,-0.4965689818795847
935,2,0,0,0,0,1,1,0,-0.03399575649612698,-0.40426363102765095
936,1,1,0,0,0,1,1,0,1.1044387946703418,0.30468089492721523
937,3,0,0,0,0,1,0,1,-0.4134739402182832,-0.495224729197275
938,1,0,0,1,0,0,0,1,1.1044387946703418,-0.10494336710002089
939,3,0,0,0,1,0,0,1,0.36793420076489447,-0.49836131878933104
940,1,0,0,1,0,0,1,0,2.24287334583681,0.7301368688782404
941,3,0,2,0,0,1,1,0,0.4213780639704605,-0.3522858606450086
942,1,1,0,0,0,1,0,1,-0.48936957696271444,0.4381347165531043
943,2,0,0,1,0,0,0,1,-0.2616826667294207,-0.36782004464177964
944,2,2,1,0,0,1,1,0,-0.7929521239404395,-0.22502994005302215
945,1,3,2,0,0,1,1,0,-0.18578702998498947,4.076578643338069
946,2,0,0,1,0,0,0,1,0.9149418460312577,-0.3580356774514747
947,3,4,1,0,1,0,0,1,-1.5519084913847518,-0.11524930433106204
948,3,0,0,0,0,1,0,1,0.34548242722602923,-0.49574809157492095
949,3,0,0,0,0,1,0,1,-0.4134739402182832,-0.5001536556990773
950,3,1,0,0,0,1,0,1,-0.28527342221828705,-0.348701186825516
